7.805001250000000000e+05,7.069969177246093750e+01,8.236569531250000000e+04,7.934060058593750000e+03,7.569456250000000000e+04,3.707311328125000000e+04,9.462342968750000000e+04,1.832997436523437500e+03,1.087580156250000000e+05,2.517913085937500000e+03,1.277401855468750000e+04,2.815081298828125000e+03,1.408306274414062500e+03,1.222832519531250000e+03,7.966100585937500000e+03,6.193430078125000000e+04,1.299650268554687500e+03,9.492194335937500000e+03,3.089354248046875000e+02,1.031754516601562500e+03,9.577456665039062500e+01,6.984103393554687500e+02,6.184829101562500000e+02,2.940799804687500000e+03,6.800711914062500000e+03,2.487400512695312500e+02,3.146644287109375000e+03,8.532074584960937500e+02,1.928722167968750000e+03,7.123671264648437500e+02
1.595993041992187500e+02,6.861015625000000000e+05,6.183433227539062500e+02,8.489051055908203125e+01,1.133449829101562500e+03,3.872135314941406250e+02,5.811797851562500000e+03,1.161649169921875000e+02,4.548047790527343750e+02,2.037545532226562500e+03,3.245649414062500000e+04,5.767811965942382812e+01,2.940333557128906250e+02,2.118012207031250000e+03,1.274914550781250000e+03,8.250643310546875000e+02,3.534085693359375000e+02,7.130734252929687500e+01,9.313077545166015625e+01,1.781499145507812500e+03,2.489965629577636719e+01,3.783135604858398438e+01,3.323309570312500000e+03,3.253461425781250000e+03,1.619026093750000000e+05,5.210633850097656250e+01,9.926731872558593750e+01,1.035984039306640625e+02,7.928149414062500000e+01,4.131785583496093750e+02
1.804057656250000000e+05,7.439025268554687500e+02,3.456087000000000000e+06,1.042688125000000000e+05,4.347948750000000000e+05,7.585543125000000000e+05,4.748955000000000000e+05,2.266233886718750000e+03,1.086268125000000000e+06,2.853333593750000000e+04,2.155485546875000000e+04,1.536358886718750000e+03,3.091528808593750000e+03,9.851356445312500000e+03,1.568729003906250000e+04,1.088708046875000000e+05,2.677111083984375000e+03,2.728436328125000000e+04,1.201111206054687500e+03,1.039384863281250000e+04,8.181839599609375000e+02,7.872947387695312500e+02,9.363100585937500000e+03,7.912187988281250000e+03,1.550757656250000000e+05,7.364951171875000000e+02,9.922763671875000000e+03,2.808262207031250000e+03,5.351240722656250000e+03,8.557630859375000000e+03
6.488784667968750000e+03,4.161064910888671875e+01,3.872196484375000000e+04,1.998838281250000000e+05,9.766553710937500000e+03,5.082940234375000000e+04,9.667392187500000000e+04,2.589956054687500000e+02,5.139353906250000000e+04,1.002779882812500000e+04,1.045907470703125000e+03,2.982005004882812500e+02,4.158183898925781250e+02,5.615202636718750000e+03,1.170853637695312500e+03,2.549959472656250000e+03,1.623236938476562500e+03,9.780758789062500000e+03,4.288228454589843750e+02,1.776685913085937500e+03,6.680113983154296875e+01,1.254220275878906250e+02,1.395756835937500000e+03,4.007263671875000000e+03,3.751730468750000000e+04,8.750237274169921875e+01,1.167481445312500000e+03,2.498801727294921875e+02,2.485092315673828125e+02,1.234607788085937500e+03
9.968850781250000000e+04,6.471213989257812500e+02,2.307379687500000000e+05,1.221854296875000000e+04,1.259296750000000000e+06,9.526929687500000000e+04,3.770233984375000000e+04,1.199736572265625000e+03,8.882717187500000000e+04,8.719111328125000000e+03,5.477300390625000000e+04,2.311101806640625000e+03,2.090801757812500000e+03,4.076535400390625000e+03,2.578228271484375000e+03,1.933962343750000000e+05,1.311057373046875000e+03,5.019335449218750000e+03,6.118853759765625000e+02,1.665570312500000000e+03,6.916950073242187500e+02,7.641788330078125000e+02,7.984438964843750000e+03,4.063234130859375000e+03,1.609120605468750000e+04,1.192830810546875000e+03,1.843641601562500000e+04,1.574530395507812500e+03,7.214324707031250000e+03,9.152097656250000000e+03
6.191630468750000000e+04,3.700910339355468750e+02,5.442437500000000000e+05,8.831800000000000000e+04,1.373941718750000000e+05,2.356196000000000000e+06,1.624112812500000000e+05,1.469842407226562500e+03,1.107291500000000000e+06,2.429022070312500000e+04,6.966782714843750000e+03,2.494099365234375000e+03,6.536436523437500000e+03,1.307877246093750000e+04,7.803728515625000000e+03,4.966231640625000000e+04,2.432807128906250000e+03,6.999084375000000000e+04,1.226938964843750000e+03,5.650223632812500000e+03,2.717809326171875000e+03,9.469354248046875000e+02,5.511048339843750000e+03,1.285380761718750000e+04,5.562016796875000000e+04,8.519928588867187500e+02,8.561210937500000000e+04,4.563937011718750000e+03,3.850415771484375000e+03,4.779395996093750000e+03
9.719083593750000000e+04,2.470460205078125000e+03,2.253743437500000000e+05,7.573792187500000000e+04,2.607001171875000000e+04,7.922417187500000000e+04,4.352712500000000000e+06,7.985646484375000000e+03,2.951845703125000000e+04,1.339065039062500000e+04,2.651235351562500000e+04,9.134554443359375000e+02,4.351232421875000000e+03,2.224085546875000000e+04,9.449101562500000000e+04,1.266151640625000000e+05,1.044600585937500000e+04,1.220033691406250000e+03,4.156044311523437500e+02,2.712063671875000000e+04,1.733809814453125000e+02,4.742987670898437500e+02,1.069616308593750000e+04,6.142907812500000000e+04,1.011519937500000000e+06,3.215083007812500000e+02,6.277153930664062500e+02,3.021484985351562500e+02,9.399570312500000000e+02,1.796031860351562500e+03
1.812352905273437500e+03,3.459644699096679688e+01,8.206424560546875000e+02,2.521271209716796875e+02,7.759335937500000000e+02,4.281191101074218750e+02,7.838874023437500000e+03,1.278721640625000000e+05,1.299055297851562500e+03,4.338215332031250000e+03,1.775109765625000000e+04,7.666702270507812500e+02,1.419672851562500000e+02,1.111014453125000000e+04,5.707663574218750000e+03,2.844902343750000000e+04,4.854311035156250000e+03,1.090814895629882812e+02,5.905957412719726562e+01,1.190732177734375000e+03,1.790599632263183594e+01,5.327297363281250000e+02,1.596328491210937500e+03,1.528166015625000000e+04,2.596392382812500000e+04,8.546385192871093750e+01,1.303766326904296875e+02,1.514826965332031250e+02,1.164227523803710938e+02,1.083273559570312500e+03
1.589720937500000000e+05,4.738230590820312500e+02,6.893756250000000000e+05,1.245639843750000000e+05,1.127009140625000000e+05,1.234378625000000000e+06,1.282840703125000000e+05,3.436857177734375000e+03,8.482322000000000000e+06,1.867521289062500000e+04,9.383011718750000000e+03,1.087506054687500000e+04,2.652290820312500000e+04,1.464931152343750000e+04,5.239646972656250000e+03,5.742076953125000000e+04,6.021649414062500000e+03,3.477586562500000000e+05,7.550460937500000000e+03,6.219113281250000000e+03,4.892624511718750000e+03,4.812104492187500000e+03,6.121186523437500000e+03,2.316968164062500000e+04,5.447292578125000000e+04,3.733685302734375000e+03,1.368283437500000000e+05,3.705035156250000000e+04,2.722429687500000000e+04,1.015240332031250000e+04
3.251678466796875000e+03,1.445865966796875000e+03,1.103605859375000000e+04,1.138405273437500000e+04,8.563021484375000000e+03,1.465039746093750000e+04,1.982374218750000000e+04,6.006991210937500000e+03,9.407071289062500000e+03,6.686698125000000000e+05,1.532182128906250000e+04,3.928441162109375000e+03,5.011640136718750000e+03,1.544163125000000000e+05,2.978418945312500000e+03,9.751143554687500000e+03,2.219316210937500000e+04,3.879683105468750000e+03,1.339164355468750000e+04,5.017428710937500000e+03,1.495654785156250000e+03,4.010898437500000000e+03,5.846000390625000000e+04,1.666804687500000000e+04,4.613401953125000000e+04,5.454427490234375000e+02,5.254479003906250000e+03,1.143291015625000000e+03,1.136865722656250000e+03,2.590782421875000000e+04
